SchoolYear,RCDTS,School,Enrollment,FAEnrollment,iepp,,eavpp,doepp,ALLCourses,FACourses,ALLTeachers,FATeachers,ALLTeachersCalc,FATeachersCalc
2017,190220680022004,Willow Creek Elem School,365,364,7738.00,,281646.00,13322.00,3025,756,21,4,22,5
2017,190220680022005,William F Murphy Elem School,413,402,7738.00,,281646.00,13322.00,3126,774,23,4,27,8
2017,190220680022006,John L Sipley Elem School,368,366,7738.00,,281646.00,13322.00,3084,772,23,3,25,5
2017,190220860170001,Hinsdale Central High School,2871,976,12529.00,,1126318.00,18804.00,39400,1885,220,14,229,21
2017,190220860170002,Hinsdale South High School,1611,572,12529.00,,1126318.00,18804.00,21372,1291,140,8,143,11
2017,190220870170001,Glenbard East High School,2322,1070,10681.00,,630364.00,16150.00,31642,2000,163,10,173,18
2017,190220870170002,Glenbard North High School,2286,857,10681.00,,630364.00,16150.00,30166,1382,155,7,170,17
2017,190220870170003,Glenbard West High School,2373,1104,10681.00,,630364.00,16150.00,32019,1799,154,12,158,15
2017,190220870170004,Glenbard South High School,1198,524,10681.00,,630364.00,16150.00,15451,1045,87,8,94,15
2017,190220880160001,Addison Trail High School,2128,644,11504.00,,766750.00,19707.00,27424,1277,126,8,128,10
2017,190220880160002,Willowbrook High School,1995,587,11504.00,,766750.00,19707.00,25709,1315,106,5,115,11
2017,190220890041003,Glen Crest Middle School,696,496,8081.00,,385018.00,12908.00,6457,1084,45,7,47,9
2017,190220890042001,Arbor View Elem School,278,276,8081.00,,385018.00,12908.00,1943,552,14,2,14,2
2017,190220890042002,Briar Glen Elem School,393,387,8081.00,,385018.00,12908.00,2754,770,20,2,20,2
2017,190220890042004,Park View Elem School,503,500,8081.00,,385018.00,12908.00,3538,1010,22,2,23,3
2017,190220890042006,Westfield Elem School,338,334,8081.00,,385018.00,12908.00,2372,670,18,2,19,3
2017,190220930041004,Stratford Middle School,670,649,8886.00,,283009.00,14386.00,7943,1275,53,2,55,3
2017,190220930042001,Carol Stream Elem School,354,300,8886.00,,283009.00,14386.00,2688,602,21,2,22,3
2017,190220930042004,Roy De Shane Elementary School,285,243,8886.00,,283009.00,14386.00,2183,492,20,2,21,3
2017,190220930042006,Western Trails Elem School,396,349,8886.00,,283009.00,14386.00,3630,1088,22,2,22,2
2017,190220930042007,Elsie C Johnson Elem Sch,341,281,8886.00,,283009.00,14386.00,2507,566,22,2,23,3
2017,190220930042009,Jay Stream Middle School,692,686,8886.00,,283009.00,14386.00,7424,1410,49,5,51,7
2017,190220930042010,Heritage Lakes Elem School,372,306,8886.00,,283009.00,14386.00,2848,636,30,2,31,3
2017,190220930042011,Cloverdale  Elem School,588,480,8886.00,,283009.00,14386.00,4461,974,36,3,37,4
2017,190220940160001,Community High School,2088,564,9098.00,,551318.00,14778.00,27456,1081,132,6,139,9
2017,190220990160001,Comm H S Dist 99 - North H S,2248,1155,11157.00,,816375.00,16871.00,29381,2126,159,16,176,29
2017,190220990160002,Comm H S Dist 99 - South High Sch,2824,1307,11157.00,,816375.00,16871.00,35326,2405,209,19,219,25
2017,190221000160001,Fenton High School,1548,544,11188.00,,777524.00,18689.00,20733,1054,98,6,108,11
2017,190221080160001,Lake Park High School,2773,1025,9069.00,,731932.00,17148.00,35588,1793,209,13,222,23
2017,190221800041001,Burr Ridge Middle School,276,233,9515.00,,458222.00,16458.00,2099,311,22,3,24,5
2017,190221800042002,Anne M Jeans Elem School,350,340,9515.00,,458222.00,16458.00,2556,683,23,2,24,3
2017,190221810041002,Hinsdale Middle School,764,740,10433.00,,616231.00,17217.00,11284,1624,66,7,74,15
2017,190221810041003,Clarendon Hills Middle School,649,633,10433.00,,616231.00,17217.00,9365,1178,56,5,60,8
2017,190221810042001,Elm Elem School,304,303,10433.00,,616231.00,17217.00,2587,686,24,6,31,13
2017,190221810042003,Madison Elem School,402,400,10433.00,,616231.00,17217.00,3312,855,33,13,39,19
2017,190221810042004,Monroe Elem School,390,390,10433.00,,616231.00,17217.00,3317,848,27,5,29,7
2017,190221810042006,Oak Elem School,258,258,10433.00,,616231.00,17217.00,2181,560,24,6,29,11
