label,cap_length,number
0,4,0.003861003861003861
0,5,0.015444015444015444
0,6,0.015444015444015444
0,7,0.06177606177606178
0,8,0.11196911196911197
0,9,0.09652509652509653
0,10,0.1891891891891892
0,11,0.2548262548262548
0,12,0.0694980694980695
0,13,0.05791505791505792
0,14,0.05019305019305019
0,15,0.023166023166023165
0,17,0.015444015444015444
0,18,0.023166023166023165
0,20,0.007722007722007722
0,21,0.003861003861003861
1,4,0.028985507246376812
1,6,0.028985507246376812
1,7,0.028985507246376812
1,8,0.014492753623188406
1,9,0.08695652173913043
1,10,0.014492753623188406
1,11,0.07246376811594203
1,12,0.13043478260869565
1,13,0.4782608695652174
1,14,0.057971014492753624
1,15,0.057971014492753624
2,5,0.008695652173913044
2,6,0.034782608695652174
2,7,0.034782608695652174
2,8,0.0782608695652174
2,9,0.30434782608695654
2,10,0.3565217391304348
2,11,0.06086956521739131
2,12,0.02608695652173913
2,13,0.06956521739130435
2,14,0.02608695652173913
3,5,0.02631578947368421
3,6,0.13157894736842105
3,7,0.10526315789473684
3,8,0.05263157894736842
3,9,0.07894736842105263
3,10,0.34210526315789475
3,11,0.07894736842105263
3,12,0.15789473684210525
3,13,0.02631578947368421
4,5,0.02666666666666667
4,6,0.12
4,7,0.26666666666666666
4,8,0.12
4,9,0.10666666666666667
4,10,0.05333333333333334
4,11,0.14666666666666667
4,12,0.08
4,13,0.04
4,14,0.04
5,6,0.030303030303030304
5,7,0.21212121212121213
5,8,0.696969696969697
5,10,0.030303030303030304
5,17,0.030303030303030304
6,5,0.0136986301369863
6,6,0.0273972602739726
6,7,0.1780821917808219
6,8,0.2602739726027397
6,9,0.0684931506849315
6,10,0.0410958904109589
6,11,0.1506849315068493
6,12,0.136986301369863
6,13,0.0273972602739726
6,14,0.0547945205479452
6,15,0.0273972602739726
6,16,0.0136986301369863
7,4,0.06557377049180328
7,5,0.19672131147540983
7,6,0.11475409836065574
7,7,0.04918032786885246
7,8,0.01639344262295082
7,9,0.18032786885245902
7,10,0.16393442622950818
7,11,0.16393442622950818
7,13,0.03278688524590164
7,18,0.01639344262295082
8,4,0.016
8,5,0.032
8,6,0.072
8,7,0.176
8,8,0.336
8,9,0.072
8,10,0.112
8,11,0.112
8,12,0.04
8,13,0.016
8,14,0.008
8,17,0.008
9,5,0.037037037037037035
9,6,0.12962962962962962
9,7,0.16666666666666666
9,8,0.1111111111111111
9,9,0.07407407407407407
9,10,0.18518518518518517
9,11,0.09259259259259259
9,12,0.07407407407407407
9,13,0.037037037037037035
9,14,0.037037037037037035
9,15,0.018518518518518517
9,16,0.018518518518518517
9,17,0.018518518518518517
10,5,0.17857142857142858
10,7,0.07142857142857142
10,8,0.14285714285714285
10,9,0.14285714285714285
10,10,0.25
10,11,0.10714285714285714
10,12,0.07142857142857142
10,13,0.03571428571428571
11,6,0.031578947368421054
11,7,0.12631578947368421
11,8,0.08421052631578947
11,9,0.2
11,10,0.16842105263157894
11,11,0.22105263157894736
11,12,0.021052631578947368
11,13,0.08421052631578947
11,14,0.042105263157894736
11,15,0.010526315789473684
11,18,0.010526315789473684
12,5,0.06896551724137931
12,6,0.3103448275862069
12,7,0.1724137931034483
12,8,0.1724137931034483
12,9,0.06896551724137931
12,10,0.06896551724137931
12,11,0.06896551724137931
12,12,0.034482758620689655
12,15,0.034482758620689655
13,4,0.042105263157894736
13,5,0.16842105263157894
13,6,0.12631578947368421
13,7,0.07368421052631578
13,8,0.031578947368421054
13,9,0.09473684210526316
13,10,0.24210526315789474
13,11,0.12631578947368421
13,12,0.021052631578947368
13,13,0.042105263157894736
13,14,0.031578947368421054
14,5,0.05
14,6,0.0375
14,7,0.1625
14,8,0.2375
14,9,0.1125
14,10,0.05
14,11,0.1625
14,12,0.05
14,13,0.05
14,14,0.0625
14,16,0.025
15,3,0.018867924528301886
15,4,0.18867924528301888
15,5,0.1320754716981132
15,6,0.1509433962264151
15,7,0.018867924528301886
15,8,0.018867924528301886
15,9,0.1509433962264151
15,10,0.018867924528301886
15,11,0.03773584905660377
15,12,0.09433962264150944
15,13,0.07547169811320754
15,14,0.07547169811320754
15,17,0.018867924528301886
16,6,0.058823529411764705
16,7,0.058823529411764705
16,8,0.23529411764705882
16,9,0.08823529411764706
16,10,0.14705882352941177
16,11,0.2647058823529412
16,12,0.058823529411764705
16,13,0.029411764705882353
16,14,0.058823529411764705
17,6,0.14285714285714285
17,7,0.3333333333333333
17,8,0.14285714285714285
17,9,0.14285714285714285
17,10,0.09523809523809523
17,11,0.047619047619047616
17,12,0.09523809523809523
18,4,0.02857142857142857
18,9,0.34285714285714286
18,10,0.05714285714285714
18,11,0.02857142857142857
18,12,0.45714285714285713
18,13,0.08571428571428572
19,4,0.002930641484858352
